topic,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,imageAsset
General,The Federal Capital Territory (FCT) is headed by a,Governor,Minister,President,Senator,B,The FCT is administered by a Minister appointed by the President.,
General,The armed forces are under the control of the,Chief Justice,President as Commander-in-Chief,Senate President,Speaker,B,The President is the Commander-in-Chief of the Armed Forces.,
General,The police force is headed by the,Chief of Army Staff,Inspector General of Police,Chief Justice,Minister of Defence,B,The Inspector General of Police heads the Nigeria Police Force.,
General,The National Security Adviser is appointed by the,Senate,President,Chief of Defence Staff,National Assembly,B,The President appoints the National Security Adviser.,
General,The body that hears election petition cases is the,Supreme Court,Election Petition Tribunal,Federal High Court,Sharia Court,B,Election Petition Tribunals adjudicate disputes arising from elections.,
General,Voter registration is important because it,prevents citizens from voting,enables eligible citizens to vote,allows foreigners to vote,is optional,B,Registration qualifies a citizen to exercise their voting right.,
General,A credible election is characterized by,vote buying,"free, fair, and transparent process",manipulation of results,intimidation of voters,B,"Credible elections are free, fair, transparent, and reflect the will of the people.",
General,"The concept of 'One Man, One Vote' implies",only men can vote,all votes have equal weight,the rich have more votes,women cannot vote,B,It ensures political equality regardless of status.,
General,The secret ballot system ensures,public voting,voter intimidation,privacy and freedom of choice,vote buying,C,Secret ballot protects voters from coercion.,
General,An electoral constituency is,a political party office,a geographic area represented by an elected official,the president's office,the national assembly,B,A constituency is a district whose voters elect a representative.,
General,The returning officer in an election is responsible for,voting on behalf of citizens,announcing election results,campaigning for candidates,printing ballot papers,B,The returning officer declares the official results.,
General,A coalition government is formed when,one party wins majority,no party wins an absolute majority,the president dissolves parliament,the military takes over,B,Parties form a coalition to achieve a working majority.,
General,The opposition in a democracy serves to,support all government policies,criticize and check the government,form a parallel government,dissolve the legislature,B,The opposition provides alternative views and holds government accountable.,
General,The doctrine of separation of powers is practiced to prevent,efficiency,dictatorship,development,elections,B,It prevents concentration of power in one branch.,
General,The executive can check the legislature through,judicial review,veto power,impeachment,elections,B,The president can veto bills passed by the legislature.,
General,The legislature checks the executive through,making appointments,confirmation of appointments and impeachment,commanding the army,declaring war,B,The Senate confirms key appointments and can impeach the president.,
General,Delegated legislation refers to laws made by,the legislature only,authorized bodies or individuals under powers given by the legislature,the president alone,judges,B,"Ministers, agencies, and local authorities may make regulations under an enabling Act.",
General,The Attorney General of the Federation is also the,Chief Justice,Minister of Justice,Inspector General of Police,Head of Civil Service,B,The Attorney General serves as the chief law officer and Minister of Justice.,
General,The civil service is expected to be,partisan,neutral and permanent,political,temporary,B,Civil servants serve the government of the day impartially.,
General,The head of the civil service is appointed by the,Senate,President,Chief Justice,Public Service Commission,B,The President appoints the Head of the Civil Service of the Federation.,
General,Red-tapism in the civil service refers to,efficiency,excessive bureaucracy and delay,quick service,transparency,B,Red-tapism involves rigid adherence to rules causing delays.,
General,The public service includes,only civil servants,"all government employees in ministries, agencies, and parastatals",only political appointees,only military personnel,B,Public service encompasses all employed by the government to deliver services.,
General,A parastatal is,a private company,a government-owned corporation,a religious organization,a political party,B,Parastatals are state-owned enterprises providing public services.,
General,The National Assembly has the power to,execute laws,appropriate funds,interpret laws,command the army,B,The legislature controls public spending through appropriation.,
General,A bill becomes law after,first reading,presidential assent,committee stage,publication in newspapers,B,A bill passed by the National Assembly requires presidential assent to become law.,
General,The doctrine of covering the field applies when,state laws conflict with federal laws,the president is absent,the courts are on strike,the legislature is dissolved,A,Federal law prevails over state law in areas of concurrent jurisdiction.,
General,Citizenship can be acquired in Nigeria through,"birth, registration, and naturalization",only birth,purchase,marriage only,A,"The 1999 Constitution provides for citizenship by birth, registration, and naturalization.",
General,Dual citizenship in Nigeria is allowed for,citizens by birth,naturalized citizens,all citizens,only the president,A,Citizens by birth can hold dual nationality; naturalized citizens must renounce other citizenship.,
General,The right to education is classified as a,political right,social and economic right,legal right,natural right,B,Education is a socio-economic right under Chapter II of the constitution.,
General,The fundamental rights are contained in which chapter of the 1999 Constitution?,Chapter I,Chapter II,Chapter IV,Chapter VI,C,Chapter IV of the constitution guarantees fundamental rights.,
