topic,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,imageAsset
General,Contempt of court includes,obeying court orders,disobeying or disrespecting the court,praising the judiciary,filing a lawsuit,B,"Contempt of court is any act that disobeys, disrespects, or undermines the authority or dignity of a court. Obeying court orders (A) is lawful. Praising the judiciary (C) is not contempt. Filing a lawsuit (D) is a legal right.",
General,The Chief Judge of a state is appointed by the,President,Governor on recommendation of NJC,Senate,House of Assembly,B,"The Governor appoints the state Chief Judge on the recommendation of the National Judicial Council (NJC), subject to confirmation by the state House of Assembly. The President (A) appoints federal judges. The Senate (C) confirms federal appointments. The House of Assembly (D) confirms state appointments but does not initiate them.",
General,The Grand Khadi of the Sharia Court of Appeal is appointed by the,President,Governor,Chief Justice,Senate,B,"The Governor of a state appoints the Grand Khadi of the Sharia Court of Appeal on the recommendation of the NJC, subject to confirmation by the state House of Assembly. This applies to states that operate Sharia law.",
General,The President of the Customary Court of Appeal is appointed by the,Senate,Governor,President,Local Government Chairman,B,"The Governor appoints the President of the Customary Court of Appeal on the recommendation of the NJC, subject to confirmation by the state House of Assembly.",
General,Judges of the Supreme Court retire at the age of,60,65,70,75,C,Judges of the Supreme Court retire at 70 years of age as stipulated by the Nigerian Constitution. Court of Appeal and High Court judges retire at 65.,
General,Judges of the Court of Appeal and High Court retire at,60 years,65 years,70 years,75 years,B,Court of Appeal and High Court judges retire at 65 years of age. Supreme Court justices retire at 70.,
General,The judiciary is independent when it is,controlled by the executive,free from interference by other arms of government,subject to military control,funded by private individuals,B,"Judicial independence means the judiciary is free from interference by the executive and legislature in the performance of its functions. Control by the executive (A), military (C), or private funders (D) compromises independence.",
General,The National Judicial Institute (NJI) trains,police officers,judicial officers,soldiers,civil servants,B,"The National Judicial Institute (NJI) provides continuing education and training for judges, magistrates, and other judicial officers to enhance their capacity.",
General,The body that disciplines erring judges is the,EFCC,National Judicial Council,Police,Senate,B,The National Judicial Council (NJC) is constitutionally empowered to investigate and recommend disciplinary action against erring judicial officers. The EFCC (A) investigates financial crimes. The Police (C) enforce laws generally. The Senate (D) confirms appointments and may approve removal.,
General,The NJC is chaired by the,President,Chief Justice of Nigeria,Attorney General,Senate President,B,"The National Judicial Council is chaired by the Chief Justice of Nigeria (CJN), who is the head of the judiciary.",
General,The constitution guarantees security of tenure for judges to,allow political interference,ensure judicial independence,reduce their salaries,allow easy removal,B,"Security of tenure protects judges from arbitrary removal, ensuring they can adjudicate without fear or favour. This is a key guarantee of judicial independence.",
General,A judicial officer can be removed for,making fair judgments,gross misconduct or incapacity,being impartial,upholding the constitution,B,"A judicial officer can only be removed for gross misconduct, incapacity, or inability to perform the functions of office. Fair judgments (A), impartiality (C), and upholding the constitution (D) are duties, not grounds for removal.",
General,The rule of law requires that,the president is above the law,laws are applied equally to all,only the rich are protected,judges make all laws,B,"The rule of law means that all persons and institutions are subject to the law, and laws are applied equally to all without discrimination. The president is not above the law (A). Laws do not protect only the rich (C). Judges interpret, not make laws (D).",
General,The principle of natural justice demands,trial without defence,fair hearing and absence of bias,conviction without evidence,secret proceedings,B,"Natural justice requires fair hearing (audi alteram partem) and absence of bias (nemo judex in causa sua). Trial without defence (A), conviction without evidence (C), and secret proceedings (D) violate natural justice.",
General,The concept of 'audi alteram partem' means,hear the other side,judge alone,ignore the accused,punish without trial,A,'Audi alteram partem' is a Latin maxim meaning 'hear the other side'. It requires that no person be judged without being given an opportunity to present their case.,
General,The principle 'nemo judex in causa sua' means,a person can judge their own case,no one should be a judge in their own cause,judges are above the law,the president is the final judge,B,'Nemo judex in causa sua' means 'no one should be a judge in their own cause'. It ensures impartiality by preventing conflicts of interest in adjudication.,
General,The term 'federalism' refers to,concentration of power at the centre,division of powers between central and regional governments,one-party rule,military government,B,"Federalism is a system of government in which power is constitutionally divided between a central government and regional (state) governments, each autonomous in its sphere.",
General,A major feature of federalism is,a written constitution,a unitary legislature,a strong central government only,the absence of a judiciary,A,Federal systems typically have written constitutions that delineate the division of powers between the central and regional governments. A unitary legislature (B) is a feature of a unitary system. Federalism shares power rather than concentrating it (C). A judiciary is essential in federalism (D is incorrect).,
General,The division of powers in a federal system includes,"exclusive, concurrent, and residual lists",only exclusive list,only concurrent list,only residual list,A,"In a federal system, powers are divided into exclusive (federal only), concurrent (shared by federal and state), and residual (state only) lists.",
General,Exclusive powers in Nigeria are exercised by the,state governments,federal government,local governments,traditional rulers,B,"Exclusive powers (e.g., defence, foreign affairs, currency, customs) are exercised solely by the federal government as listed in the Constitution.",
General,Concurrent powers in Nigeria are shared between,federal and state governments,state and local governments,federal and local governments,all three tiers,A,"Concurrent powers (e.g., education, health, agriculture) are shared between the federal and state governments. Where conflict arises, federal law prevails.",
General,Residual powers in Nigeria belong to the,federal government,state governments,local governments,judiciary,B,Residual powers are those not listed in the exclusive or concurrent lists and therefore belong to the state governments.,
General,The revenue allocation formula is determined by the,President,Revenue Mobilization Allocation and Fiscal Commission,Senate only,Governors,B,The Revenue Mobilization Allocation and Fiscal Commission (RMAFC) is constitutionally empowered to recommend the formula for sharing federal revenue among the three tiers of government.,
General,The federation account is shared among,federal government only,"federal, state, and local governments",state governments only,local governments only,B,"Revenue in the federation account is shared vertically among the federal, state, and local governments according to the approved formula.",
General,The principle of derivation in revenue allocation ensures,equal sharing,producing states receive a percentage of revenue from their resources,all revenue goes to the centre,states keep all revenue,B,The derivation principle allocates a percentage (currently 13%) of revenue from natural resources to the state or region where the resources are extracted.,
General,State creation in Nigeria requires approval by,the President alone,two-thirds of the National Assembly and two-thirds of states,a referendum,the Supreme Court,B,Creating a new state requires a supermajority: approval by at least two-thirds of the National Assembly and two-thirds of the state Houses of Assembly.,
General,Local government chairmen are elected for a term of,2 years,3 years,4 years,5 years,C,"Local government chairmen are elected for a four-year term, as stipulated by state laws in line with the Constitution.",
General,The Federal Capital Territory (FCT) is headed by a,Governor,Minister,President,Senator,B,The FCT is administered by a Minister appointed by the President. It does not have a governor (A). The President (C) appoints the Minister but does not directly administer. A Senator (D) represents the FCT in the National Assembly.,
General,The armed forces are under the control of the,Chief Justice,President as Commander-in-Chief,Senate President,Speaker,B,"The President is the Commander-in-Chief of the Armed Forces of Nigeria, exercising supreme command over the military.",
General,The police force is headed by the,Chief of Army Staff,Inspector General of Police,Chief Justice,Minister of Defence,B,"The Nigeria Police Force is headed by the Inspector General of Police (IGP), who is appointed by the President.",
