topic,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,imageAsset
General,Checks and balances refer to,the fusion of powers,mechanisms by which each branch limits the others,the supremacy of the executive,judicial supremacy,B,Each branch has oversight over the others to prevent abuse.,
General,Delegated legislation is made by,only the legislature,authorized bodies under powers given by the legislature,the president alone,judges only,B,"Ministers, agencies, and local authorities make rules under enabling Acts.",
General,A bill becomes law after,first reading,presidential assent,committee stage,publication in newspapers,B,A bill requires presidential assent to become law.,
General,The final stage before a bill becomes law in Nigeria is,first reading,second reading,third reading,presidential assent,D,Presidential assent completes the lawmaking process.,
General,The National Assembly can override a presidential veto with,simple majority,two-thirds majority of both houses,unanimous vote,presidential consent,B,A two-thirds majority can override a veto.,
General,Impeachment is the process of,appointing officials,removing the president or governor for misconduct,dissolving parliament,declaring war,B,Impeachment removes high officials for gross misconduct.,
General,A vote of no confidence is associated with the,presidential system,parliamentary system,military regime,monarchy,B,"In parliamentary systems, a no-confidence vote removes the government.",
General,The Attorney General of the Federation is also the,Chief Justice,Minister of Justice,Inspector General of Police,Head of Civil Service,B,The Attorney General serves as Minister of Justice.,
General,The civil service is expected to be,partisan,neutral and permanent,political,temporary,B,Civil servants serve impartially and enjoy permanence.,
General,A major characteristic of the civil service is,political activity,anonymity and neutrality,partisanship,election of officials,B,Civil servants are anonymous and politically neutral.,
General,The head of the Nigerian civil service is appointed by the,Senate,President,Chief Justice,Public Service Commission,B,The President appoints the Head of Civil Service.,
General,Red-tapism in the civil service refers to,efficiency,excessive bureaucracy and delay,quick service,transparency,B,Red-tapism is rigid adherence to rules causing delays.,
General,The public service includes,only civil servants,"all government employees in ministries, agencies, and parastatals",only political appointees,only military personnel,B,Public service encompasses all government employment.,
General,A parastatal is,a private company,a government-owned corporation,a religious organization,a political party,B,Parastatals are state-owned enterprises.,
General,The Ombudsman in Nigeria is called the,EFCC,Public Complaints Commission,ICPC,NOA,B,The Public Complaints Commission serves as the ombudsman.,
General,The primary role of the police is to,make laws,maintain law and order,interpret laws,collect taxes,B,The police maintain public order and safety.,
General,The armed forces are under the control of the,Chief Justice,President as Commander-in-Chief,Senate President,Speaker,B,The President is Commander-in-Chief of the Armed Forces.,
General,The police force is headed by the,Chief of Army Staff,Inspector General of Police,Chief Justice,Minister of Defence,B,The IGP heads the Nigeria Police Force.,
General,The National Security Adviser is appointed by the,Senate,President,Chief of Defence Staff,National Assembly,B,The President appoints the National Security Adviser.,
General,The body that hears election petitions is the,Supreme Court,Election Petition Tribunal,Federal High Court,Sharia Court,B,Election Petition Tribunals adjudicate election disputes.,
General,Voter registration is important because it,prevents citizens from voting,qualifies eligible citizens to vote,allows foreigners to vote,is optional,B,Registration qualifies a citizen to exercise voting rights.,
General,A credible election is characterized by,vote buying,"free, fair, and transparent processes",manipulation of results,intimidation of voters,B,Credible elections reflect the free will of the people.,
General,"One man, one vote means",only men can vote,all votes have equal weight,the rich have more votes,women cannot vote,B,It ensures political equality regardless of status.,
General,The secret ballot system protects voters from,participation,intimidation and victimization,registration,counting,B,Secret voting shields voters from coercion.,
General,A referendum is a vote by citizens on,electing representatives,a specific issue or law,appointing judges,declaring war,B,A referendum allows direct decision on a proposal.,
General,Plebiscite is similar to,election of officials,a referendum,appointment,impeachment,B,"A plebiscite is a direct vote on an issue, like a referendum.",
General,The term 'franchise' is also known as,mandate,suffrage,constituency,manifesto,B,Franchise and suffrage both mean the right to vote.,
General,Political apathy means,active participation,lack of interest in political affairs,support for government,voting regularly,B,Political apathy is indifference to politics.,
General,A major consequence of political apathy is,good governance,election of incompetent leaders,increased voter turnout,peaceful elections,B,Apathy allows unqualified leaders to emerge.,
General,The first military Head of State in Nigeria was,Yakubu Gowon,Aguiyi-Ironsi,Murtala Mohammed,Olusegun Obasanjo,B,Major-General Aguiyi-Ironsi became Head of State in January 1966.,
