topic,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,imageAsset
General,A protest becomes unlawful when,it is peaceful,it turns violent and breaches public order,it is announced,it is political,B,Protests must be peaceful; violence renders them illegal.,
General,Trade unions are formed to,promote political candidates,protect workers' rights and interests,support employers,collect taxes,B,Trade unions advocate for better working conditions and wages.,
General,The Academic Staff Union of Universities (ASUU) is a,political party,trade union,government agency,student union,B,ASUU is a trade union representing university lecturers.,
General,The right to form or join a trade union is a,political right,economic right,social right,fundamental right,D,"Section 40 of the constitution protects the right to associate, including unions.",
General,A strike action by workers involves,working overtime,withdrawal of labour to press for demands,promotion of employees,supporting management,B,A strike is a collective work stoppage to enforce demands.,
General,The Trade Disputes Act provides for,banning all unions,resolution of industrial disputes,appointment of judges,election of governors,B,The Act establishes procedures for settling trade disputes.,
General,The National Industrial Court has jurisdiction over,criminal cases,trade disputes and labour matters,election petitions,divorce cases,B,NIC adjudicates labour and employment-related disputes.,
General,The minimum wage in Nigeria is set by the,President alone,National Assembly,Trade Unions,National Minimum Wage Act,D,"The National Minimum Wage Act, passed by the National Assembly and assented by the President, sets the minimum wage.",
General,The principle of 'equal pay for equal work' promotes,discrimination,fairness in remuneration,nepotism,gender bias,B,It ensures workers receive equal pay for work of equal value.,
General,Gender discrimination in the workplace is prohibited by,the constitution and labour laws,tradition,custom,religious law,A,Section 42 of the constitution prohibits sex-based discrimination.,
General,The National Gender Policy aims to,promote male dominance,achieve gender equality and women empowerment,exclude women from politics,encourage early marriage,B,The policy promotes equal opportunities for all genders.,
General,The Violence Against Persons (Prohibition) Act addresses,tax evasion,gender-based violence,electoral fraud,drug abuse,B,"The VAPP Act criminalizes domestic violence, rape, and harmful practices.",
General,Child trafficking is a violation of,property rights,human rights,animal rights,economic rights,B,Child trafficking violates fundamental human dignity and rights.,
General,The Child Rights Act was enacted in Nigeria in,1999,2003,2007,2011,B,The Child Rights Act was passed in 2003 to protect children.,
General,The minimum age for marriage under the Child Rights Act is,16 years,18 years,21 years,15 years,B,The Act sets 18 as the minimum age for marriage.,
General,Child labour refers to,children helping at home,exploitation of children through work that harms them,children going to school,children playing,B,Child labour deprives children of their childhood and education.,
