topic,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,imageAsset
General,The Nigerian legislature is bicameral because it has,the President and Vice President,the Senate and House of Representatives,the Governor and Deputy,the Supreme Court and Appeal Court,B,The National Assembly comprises the Senate and House of Representatives.,
General,The minimum voting age in Nigeria is,16 years,18 years,21 years,25 years,B,The 1999 Constitution sets voting age at 18.,
General,A political party is an organization that,builds roads,seeks to capture and exercise political power,provides healthcare,collects taxes,B,Political parties aim to gain governmental power through elections.,
General,Public opinion refers to,the views of the president,the collective attitudes and beliefs of citizens on issues,government policies,media reports only,B,Public opinion is the aggregate of individual views on matters of concern.,
General,Franchise is the right to,free speech,vote in elections,own property,bear arms,B,Franchise (suffrage) is the right to vote.,
General,A bye-election is held to,elect a new president,fill a vacancy in the legislature,change the constitution,dissolve parliament,B,Bye-elections fill seats vacated between general elections.,
General,The first-past-the-post electoral system awards victory to,the candidate with the highest votes,all candidates,the party with most seats,the president's choice,A,First-past-the-post is a plurality system.,
General,The body that registers political parties in Nigeria is,National Assembly,INEC,Supreme Court,Presidency,B,INEC registers and regulates political parties.,
General,The secret ballot system ensures,public voting,voter privacy and freedom from intimidation,vote buying,open counting,B,Secret ballot protects voters' choices.,
General,The returning officer in an election is responsible for,campaigning,announcing results,printing ballots,appointing judges,B,The returning officer declares official results.,
General,The opposition in a democracy serves to,support all government policies,check and challenge the government,form a parallel government,dissolve the legislature,B,The opposition provides alternatives and accountability.,
General,Nigeria became a republic in,1960,1963,1979,1999,B,Nigeria became a republic on 1 October 1963.,
General,The first executive president of Nigeria was,Nnamdi Azikiwe,Tafawa Balewa,Shehu Shagari,Olusegun Obasanjo,C,Shehu Shagari was the first executive president under the 1979 Constitution.,
