topic,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,imageAsset
General,The Economic and Financial Crimes Commission (EFCC) was established in,1999,2000,2003,2007,C,EFCC was created in 2003 to fight financial crimes.,
General,The Independent Corrupt Practices Commission (ICPC) was established in,1999,2000,2003,2010,B,ICPC was created by the Corrupt Practices Act 2000.,
General,A citizen who reports corrupt practices is called a,prosecutor,whistleblower,witness,plaintiff,B,A whistleblower exposes wrongdoing.,
General,The Freedom of Information Act was enacted in Nigeria in,1999,2007,2011,2015,C,The FOI Act was signed into law in 2011.,
General,The primary objective of the FOI Act is to,restrict information,make public records accessible,increase secrecy,punish journalists,B,The Act promotes transparency by granting access to public information.,
General,The National Identity Management Commission (NIMC) issues,international passport,national identity card,driver's licence,voter's card,B,NIMC manages the national identity database and issues ID cards.,
General,The Nigerian Security and Civil Defence Corps (NSCDC) is primarily responsible for,military operations,protection of critical infrastructure,election conduct,tax collection,B,"NSCDC protects pipelines, government assets, and critical infrastructure.",
General,The National Emergency Management Agency (NEMA) responds to,elections,disasters and emergencies,tax issues,criminal cases,B,NEMA coordinates disaster response and management.,
General,The Consumer Protection Council protects,government agencies,consumers from unfair trade practices,politicians,foreign investors,B,The CPC ensures consumer rights and fair market practices.,
General,The National Agency for Food and Drug Administration and Control (NAFDAC) regulates,elections,"food, drugs, and cosmetics",oil and gas,education,B,NAFDAC ensures safety and quality of consumable products.,
General,The Standards Organisation of Nigeria (SON) sets,political standards,quality standards for products,educational curriculum,military standards,B,SON develops and enforces industrial standards.,
General,The National Assembly can override a presidential veto with,simple majority,two-thirds majority,unanimous vote,presidential consent,B,A two-thirds majority in both chambers can override a veto.,
General,A vote of no confidence can lead to,promotion of the executive,removal of the executive in a parliamentary system,declaration of war,amendment of the constitution,B,"In parliamentary systems, a no-confidence vote forces government resignation.",
General,The term 'lobbying' refers to,voting in elections,seeking to influence legislators on specific issues,protesting violently,running for office,B,Lobbying involves advocacy to persuade lawmakers.,
General,The 'spoils system' in government refers to,merit-based appointments,giving government jobs to political supporters,competitive exams,civil service neutrality,B,The spoils system rewards loyalists with public offices.,
General,The merit system in civil service emphasizes,nepotism,qualification and competence,political loyalty,ethnicity,B,The merit system promotes based on ability and qualifications.,
