topic,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,imageAsset
General,The concept of 'innocent until proven guilty' is known as,presumption of guilt,presumption of innocence,judicial bias,executive privilege,B,The accused is presumed innocent until proven guilty.,
General,Double jeopardy means,being tried twice for different offences,being tried again for the same offence after acquittal,appealing a conviction,plea bargaining,B,Double jeopardy prohibits retrial after acquittal.,
General,The term 'sub judice' refers to,a concluded case,a matter under judicial consideration,an executive order,a legislative debate,B,Sub judice restricts public comment on ongoing cases.,
General,Contempt of court includes,obeying court orders,disobeying or disrespecting the court,praising the judiciary,filing a lawsuit,B,Contempt punishes defiance of court authority.,
General,The Chief Judge of a state is appointed by the,President,Governor on recommendation of NJC,Senate,House of Assembly,B,The Governor appoints the Chief Judge on NJC advice.,
General,The Grand Khadi of the Sharia Court of Appeal is appointed by the,President,Governor,Chief Justice,Senate,B,The Governor appoints the Grand Khadi on NJC recommendation.,
General,The President of the Customary Court of Appeal is appointed by the,Senate,Governor,President,Local Government Chairman,B,The Governor makes the appointment based on NJC recommendation.,
General,The judiciary is independent when it is,controlled by the executive,free from interference by other arms of government,subject to military control,funded by private individuals,B,Judicial independence ensures impartial adjudication.,
General,The National Judicial Institute (NJI) trains,police officers,judicial officers,soldiers,civil servants,B,NJI provides continuing education for judges and magistrates.,
General,The body that disciplines erring judges is the,EFCC,National Judicial Council,Police,Senate,B,NJC recommends disciplinary action against judges.,
General,Security of tenure for judges ensures,political interference,judicial independence,reduced salaries,easy removal,B,Security of tenure protects judges from arbitrary removal.,
General,A judicial officer can be removed for,making fair judgments,gross misconduct or incapacity,being impartial,upholding the constitution,B,Removal requires proven misconduct.,
General,The rule of law requires that,the president is above the law,laws are applied equally to all,only the rich are protected,judges make all laws,B,Equality before the law is a core element.,
